# x,y
0.000000000000000000e+00,0.000000000000000000e+00
8.979591836734693994e-03,-7.589087727238411638e-04
1.795918367346938799e-02,-2.276706954915990334e-03
2.693877551020408198e-02,-4.553355822041513234e-03
3.591836734693877597e-02,-7.588797292237910511e-03
4.489795918367346650e-02,-1.138295393224180579e-02
5.387755102040816396e-02,-1.593572896528918509e-02
6.285714285714286143e-02,-2.124700628098749600e-02
7.183673469387755195e-02,-2.731665044715745824e-02
8.081632653061224247e-02,-3.414450672364200551e-02
8.979591836734693300e-02,-4.173040107807939048e-02
9.877551020408163740e-02,-5.007414020363702700e-02
1.077551020408163279e-01,-5.917551153870223568e-02
1.167346938775510184e-01,-6.903428328852563578e-02
1.257142857142857229e-01,-7.965020444881246164e-02
1.346938775510204134e-01,-9.102300483125681796e-02
1.436734693877551039e-01,-1.031523950910131909e-01
1.526530612244897944e-01,-1.160380667560994977e-01
1.616326530612244849e-01,-1.296796922587251100e-01
1.706122448979591755e-01,-1.440769249685372733e-01
1.795918367346938660e-01,-1.592293992277787062e-01
1.885714285714285843e-01,-1.751367303883488158e-01
1.975510204081632748e-01,-1.917985148507605486e-01
2.065306122448979653e-01,-2.092143301049845805e-01
2.155102040816326558e-01,-2.273837347731719194e-01
2.244897959183673464e-01,-2.463062686542461244e-01
2.334693877551020369e-01,-2.659814527703551756e-01
2.424489795918367274e-01,-2.864087894151733371e-01
2.514285714285714457e-01,-3.075877622040426584e-01
2.604081632653061362e-01,-3.295178361259434308e-01
2.693877551020408267e-01,-3.521984575972824105e-01
2.783673469387755173e-01,-3.756290545174876261e-01
2.873469387755102078e-01,-3.998090363263978042e-01
2.963265306122448983e-01,-4.247377940634341487e-01
3.053061224489795888e-01,-4.504147004285423139e-01
3.142857142857142794e-01,-4.768391098448914178e-01
3.232653061224489699e-01,-5.040103585233168815e-01
3.322448979591836604e-01,-5.319277645284935518e-01
3.412244897959183509e-01,-5.605906278468255621e-01
3.502040816326530415e-01,-5.899982304560380530e-01
3.591836734693877320e-01,-6.201498363964565996e-01
3.681632653061224780e-01,-6.510446918439597441e-01
3.771428571428571686e-01,-6.826820251845886478e-01
3.861224489795918591e-01,-7.150610470907987626e-01
3.951020408163265496e-01,-7.481809505993382015e-01
4.040816326530612401e-01,-7.820409111907355992e-01
4.130612244897959306e-01,-8.166400868703823646e-01
4.220408163265306212e-01,-8.519776182511908935e-01
4.310204081632653117e-01,-8.880526286378137568e-01
4.400000000000000022e-01,-9.248642241124047647e-01
